RGI_ID,Glacier_Size,Catchment_Size,Slopes_Steeper30,Deposit_Area_ASC,Avalanche_Activity_ASC,Coverage_ASC,Deposit_Area_DESC,Avalanche_Activity_DESC,Coverage_DESC
RGI60-15.09993,36400,27300,19400,0,0,33900,0,0,11700
RGI60-15.09994,72400,151500,124600,0,0,70100,0,0,52900
RGI60-15.09995,196100,185300,49300,0,0,147100,0,0,10400
RGI60-15.09996,133600,128700,74400,0,0,2600,0,0,57900
RGI60-15.09997,426500,822100,378300,0,0,407100,0,0,156000
RGI60-15.09998,189200,570500,396900,0,0,189200,8900,8000,154000
RGI60-15.09999,58400,51200,9100,0,0,46100,0,0,800
RGI60-15.10000,35000,44000,32400,0,0,34900,0,0,7600
RGI60-15.10001,170600,171500,10600,19200,11300,166300,0,0,122500
RGI60-15.10005,20700,18300,15500,0,0,0,0,0,14100
RGI60-15.10006,570900,711900,543600,0,0,369500,10200,5200,477200
RGI60-15.10007,719400,2153400,1454300,0,0,332500,0,0,657600
RGI60-15.10010,48200,88400,67200,0,0,48100,0,0,35400
RGI60-15.10012,24500,28500,26700,0,0,0,0,0,24500
RGI60-15.10015,172500,397600,314000,0,0,34800,0,0,171300
RGI60-15.10016,948800,2006600,1372400,12900,6400,417500,65200,89800,722000
RGI60-15.10017,154500,150600,135100,0,0,500,0,0,131600
RGI60-15.10019,21900,21000,15800,0,0,0,0,0,15200
RGI60-15.10020,73700,77500,74000,0,0,59700,0,0,26300
RGI60-15.10021,26800,34000,27300,0,0,0,0,0,26400
RGI60-15.10022,294700,330700,299300,0,0,300,0,0,256400
RGI60-15.10023,341300,627600,437600,0,0,111800,0,0,256700
RGI60-15.10024,241400,409600,55100,0,0,236200,0,0,134200
RGI60-15.10025,137100,130500,106600,0,0,125200,0,0,0
RGI60-15.10026,235400,464200,337200,0,0,204200,0,0,153100
RGI60-15.10027,440900,1159400,815100,0,0,381700,16500,17800,277000
RGI60-15.10029,350500,371100,326200,0,0,0,9400,10800,309000
RGI60-15.10030,468000,548700,217800,0,0,445800,0,0,28700
